SYNONYM,SYMBOL
HIST1H2BK,H2BC12
HIST1H2BL,H2BC13
HIST1H2BM,H2BC14
HIST1H2BN,H2BC15
HIST1H2BO,H2BC17
HIST1H3A,H3C1
HIST1H3B,H3C2
HIST1H3C,H3C3
HIST1H3D,H3C4
HIST1H3E,H3C6
HIST1H3F,H3C7
HIST1H3G,H3C8
HIST1H3H,H3C10
HIST1H3I,H3C11
HIST1H3J,H3C12
HIST1H4A,H4C1
HIST1H4B,H4C2
HIST1H4C,H4C3
HIST1H4D,H4C4
HIST1H4E,H4C5
HIST1H4F,H4C6
HIST1H4G,H4C7
HIST1H4H,H4C8
HIST1H4I,H4C9
HIST1H4J,H4C11
HIST1H4K,H4C12
HIST1H4L,H4C13
HIST4H4,H4C16
HKR1,ZNF875
HMHA1,ARHGAP45
HN1,JPT1
HRASLS2,PLAAT2
HRASLS5,PLAAT5
HRASLS,PLAAT1
HRSP12,RIDA
HSPB11,IFT25
IARS,IARS1
ICK,CILK1
ICT1,MRPL58
IKBKAP,ELP1
INADL,PATJ
ISPD,CRPPA
ITFG3,FAM234A
KARS,KARS1
KDELC1,POGLUT2
KDELC2,POGLUT3
KIAA0020,PUM3
KIAA0100,BLTP2
KIAA0101,PCLAF
KIAA0125,FAM30A
KIAA0141,DELE1
KIAA0195,TMEM94
KIAA0196,WASHC5
KIAA0226,RUBCN
GLTSCR1L,BICRAL
KIAA0355,GARRE1
KIAA0368,ECPAS
KIAA0391,PRORP
KIAA0430,MARF1
KIAA0556,KATNIP
KIAA0754,MACF1
KIAA0895L,MATCAP1
KIAA0895,MATCAP2
KIAA0907,KHDC4
KIAA0922,TMEM131L
KIAA1024,MINAR1
KIAA1033,WASHC4
KIAA1045,PHF24
KIAA1107,BTBD8
KIAA1109,BLTP1
KIAA1147,DENND11
KIAA1161,MYORG
KIAA1211,CRACD
KIAA1257,CFAP92
KIF1BP,KIFBP
KIAA1324L,ELAPOR2
KIAA1324,ELAPOR1
FAM214A,ATOSA
KIAA1407,CCDC191
KIAA1429,VIRMA
KIAA1462,JCAD
KIAA1467,FAM234B
KIAA1468,RELCH
KIAA1522,NHSL3
KIAA1524,CIP2A
FAM214B,ATOSB
KIAA1598,SHTN1
